median,p10,p90,count,time_minutes,time_label
106.0,86.6,135.0,487,0,00:00
106.0,87.0,133.90000000000003,522,5,00:05
106.0,87.0,138.0,561,10,00:10
106.0,86.0,139.20000000000005,580,15,00:15
105.0,85.0,136.0,598,20,00:20
105.0,86.0,140.0,639,25,00:25
104.0,84.0,138.0,643,30,00:30
104.0,86.0,135.0,677,35,00:35
105.0,86.0,138.0,729,40,00:40
106.0,87.0,137.0,726,45,00:45
105.0,86.3,133.0,724,50,00:50
107.0,88.0,137.0,799,55,00:55
106.0,87.0,138.0,784,60,01:00
106.0,87.0,137.0,790,65,01:05
107.0,88.0,140.0,864,70,01:10
106.0,86.30000000000001,138.0,854,75,01:15
105.0,87.0,136.0,871,80,01:20
107.0,87.0,141.0,929,85,01:25
106.0,87.0,140.0,920,90,01:30
106.0,87.0,137.0,941,95,01:35
106.0,87.0,143.60000000000002,1005,100,01:40
106.0,87.0,142.0,1000,105,01:45
106.0,87.0,140.0,1043,110,01:50
106.0,88.0,143.0,1117,115,01:55
107.0,88.0,140.0,1347,120,02:00
107.0,87.0,138.29999999999995,1348,125,02:05
108.0,88.0,142.0,1402,130,02:10
107.0,87.0,140.0,1354,135,02:15
107.0,87.0,138.0,1343,140,02:20
108.0,88.0,142.10000000000014,1400,145,02:25
108.0,87.0,140.0,1353,150,02:30
108.0,88.0,139.0,1349,155,02:35
108.0,88.0,142.0,1401,160,02:40
108.0,88.0,141.0,1357,165,02:45
108.0,88.0,140.4000000000001,1347,170,02:50
109.0,89.0,142.20000000000005,1399,175,02:55
108.0,89.0,141.0,1353,180,03:00
108.0,89.0,141.0,1346,185,03:05
109.0,89.0,142.0,1394,190,03:10
109.0,89.0,142.0,1348,195,03:15
108.0,89.0,141.0,1355,200,03:20
109.0,89.0,145.0,1395,205,03:25
109.0,90.0,145.0,1349,210,03:30
108.0,90.0,143.0,1355,215,03:35
110.0,90.0,146.0,1400,220,03:40
109.0,90.0,147.0,1349,225,03:45
109.0,90.0,145.0,1350,230,03:50
110.0,90.80000000000001,148.0,1399,235,03:55
109.0,90.0,148.0,1349,240,04:00
110.0,91.0,147.60000000000014,1345,245,04:05
110.0,91.0,150.0,1391,250,04:10
109.5,91.0,149.0,1336,255,04:15
110.0,91.0,149.0,1331,260,04:20
110.0,91.0,150.5,1366,265,04:25
110.0,91.0,149.0,1321,270,04:30
111.0,90.0,148.0,1316,275,04:35
112.0,90.0,152.29999999999995,1348,280,04:40
112.0,90.0,150.0,1304,285,04:45
111.5,91.0,148.0,1296,290,04:50
113.0,92.0,152.0,1325,295,04:55
113.0,92.0,151.0,1287,300,05:00
113.0,92.0,151.0,1280,305,05:05
114.0,93.0,151.0,1307,310,05:10
114.0,93.0,151.0,1272,315,05:15
114.0,93.0,152.0,1267,320,05:20
114.0,93.0,154.0,1290,325,05:25
114.0,93.0,155.4000000000001,1249,330,05:30
113.0,93.0,156.0,1237,335,05:35
114.0,93.0,157.0,1257,340,05:40
114.0,92.9,158.0,1220,345,05:45
114.0,92.0,155.0,1193,350,05:50
115.0,93.0,159.5,1226,355,05:55
115.0,93.0,157.0,1177,360,06:00
116.0,93.0,157.0,1163,365,06:05
118.0,94.0,163.0,1196,370,06:10
117.0,95.0,160.79999999999995,1153,375,06:15
117.0,96.0,159.60000000000002,1115,380,06:20
118.0,96.0,165.0,1154,385,06:25
118.0,95.0,162.80000000000007,1093,390,06:30
119.0,97.0,163.0,1084,395,06:35
121.0,97.0,167.80000000000007,1113,400,06:40
120.0,98.0,168.0,1072,405,06:45
121.0,99.0,172.0,1070,410,06:50
123.0,100.0,175.0,1084,415,06:55
122.0,98.2,179.80000000000007,1033,420,07:00
123.0,101.0,178.80000000000007,1023,425,07:05
126.0,102.0,182.20000000000005,1039,430,07:10
126.0,102.0,184.0,992,435,07:15
127.0,103.0,187.0,980,440,07:20
130.0,104.0,189.30000000000007,988,445,07:25
129.0,103.0,191.0,926,450,07:30
131.0,104.0,196.0,909,455,07:35
133.0,106.0,200.0,911,460,07:40
132.0,107.0,198.0,864,465,07:45
136.0,108.0,206.0,846,470,07:50
139.0,109.0,210.30000000000007,848,475,07:55
140.0,108.4,213.0,785,480,08:00
142.5,109.3,217.4000000000001,764,485,08:05
145.0,110.0,222.20000000000005,759,490,08:10
143.0,108.0,220.80000000000007,683,495,08:15
148.0,110.0,225.0,676,500,08:20
151.0,110.0,223.0,664,505,08:25
152.0,109.0,223.0,591,510,08:30
154.0,111.80000000000001,225.0,569,515,08:35
157.0,115.30000000000001,227.0,544,520,08:40
155.0,115.0,225.0,463,525,08:45
163.0,112.2,230.0,403,530,08:50
166.0,114.0,231.0,255,535,08:55
,,,0,540,09:00
,,,0,545,09:05
,,,0,550,09:10
,,,0,555,09:15
,,,0,560,09:20
,,,0,565,09:25
,,,0,570,09:30
,,,0,575,09:35
,,,0,580,09:40
,,,0,585,09:45
,,,0,590,09:50
,,,0,595,09:55
,,,0,600,10:00
,,,0,605,10:05
,,,0,610,10:10
,,,0,615,10:15
,,,0,620,10:20
,,,0,625,10:25
,,,0,630,10:30
,,,0,635,10:35
,,,0,640,10:40
,,,0,645,10:45
,,,0,650,10:50
