median,p10,p90,count,time_minutes,time_label
197.0,159.2,254.1,24,0,00:00
199.0,159.0,282.0,31,5,00:05
196.0,161.6,278.6,33,10,00:10
196.5,156.0,283.0,36,15,00:15
198.5,152.0,277.0,40,20,00:20
196.0,152.0,276.6,45,25,00:25
195.0,155.0,285.0,46,30,00:30
193.0,158.0,290.0,49,35,00:35
197.0,159.0,304.0,51,40,00:40
200.0,168.2,306.8,53,45,00:45
197.0,172.0,308.0,56,50,00:50
195.0,166.0,305.0,61,55,00:55
196.0,169.9,305.90000000000003,64,60,01:00
198.0,171.0,302.0,65,65,01:05
197.0,165.5,296.0,66,70,01:10
192.5,160.0,297.0,70,75,01:15
193.0,160.0,296.0,71,80,01:20
192.0,159.0,297.0,71,85,01:25
194.0,157.0,290.0,74,90,01:30
192.0,157.0,290.0,75,95,01:35
192.5,159.0,289.0,76,100,01:40
198.0,159.4,284.0000000000001,77,105,01:45
195.0,153.0,281.0,81,110,01:50
195.0,150.3,275.0,82,115,01:55
197.0,143.8,272.0,83,120,02:00
196.0,138.8,267.40000000000003,87,125,02:05
195.0,133.6,267.0,87,130,02:10
193.0,130.8,272.4,89,135,02:15
191.0,130.6,271.40000000000003,90,140,02:20
190.5,131.2,268.70000000000005,92,145,02:25
189.0,131.0,281.0,91,150,02:30
188.0,128.0,283.59999999999997,93,155,02:35
190.0,116.0,282.0,97,160,02:40
187.0,123.3,280.50000000000006,100,165,02:45
191.0,129.0,285.0,106,170,02:50
190.0,130.0,283.0,107,175,02:55
191.5,132.4,284.0,108,180,03:00
193.0,128.0,275.80000000000007,109,185,03:05
192.5,126.0,278.8,112,190,03:10
191.0,122.2,274.4,113,195,03:15
194.0,121.60000000000001,278.4,113,200,03:20
195.0,128.0,278.20000000000005,115,205,03:25
198.0,127.0,279.0,116,210,03:30
197.0,126.6,271.4000000000001,115,215,03:35
192.5,132.0,302.30000000000007,122,220,03:40
191.0,121.4,301.80000000000007,122,225,03:45
187.0,124.60000000000001,296.0,123,230,03:50
189.0,138.4,299.0,119,235,03:55
192.0,141.4,296.6,119,240,04:00
192.5,141.9,292.3,120,245,04:05
193.5,141.0,293.0,122,250,04:10
193.0,138.2,290.8000000000001,122,255,04:15
192.0,139.0,277.60000000000014,127,260,04:20
201.0,141.9,291.1,130,265,04:25
200.0,143.6,305.80000000000007,134,270,04:30
202.5,139.0,294.9999999999999,128,275,04:35
203.0,140.0,303.0,131,280,04:40
198.0,137.0,283.0,131,285,04:45
195.0,136.0,286.20000000000005,135,290,04:50
198.0,136.5,288.0,136,295,04:55
202.0,137.6,286.6,135,300,05:00
199.0,138.0,295.2,139,305,05:05
198.0,138.0,285.20000000000005,139,310,05:10
198.5,141.0,284.0,134,315,05:15
191.0,134.0,281.5,136,320,05:20
192.0,141.0,280.0,136,325,05:25
193.5,145.4,290.20000000000005,132,330,05:30
194.0,143.0,287.0,131,335,05:35
194.0,140.2,286.8,133,340,05:40
192.0,143.4,293.0,133,345,05:45
191.0,148.0,281.6,133,350,05:50
194.5,154.0,281.0,128,355,05:55
196.0,152.9,282.0,130,360,06:00
197.0,151.9,276.6,130,365,06:05
196.0,150.0,282.20000000000005,130,370,06:10
196.0,146.6,275.4,134,375,06:15
193.0,146.0,274.4,137,380,06:20
189.0,147.9,275.20000000000005,140,385,06:25
188.0,146.9,280.1,140,390,06:30
189.5,142.3,265.70000000000005,144,395,06:35
191.0,147.4,271.6000000000001,153,400,06:40
189.5,144.9,267.5,160,405,06:45
190.0,144.0,272.79999999999995,165,410,06:50
191.0,140.4,271.6,165,415,06:55
197.0,145.0,272.0,169,420,07:00
194.0,150.2,270.0,179,425,07:05
195.0,154.2,268.0,192,430,07:10
192.5,153.5,269.5,196,435,07:15
191.0,157.6,272.70000000000005,204,440,07:20
193.0,154.0,275.0,213,445,07:25
197.5,146.0,281.0,220,450,07:30
197.0,146.4,279.5999999999999,225,455,07:35
196.0,145.6,281.00000000000017,234,460,07:40
194.5,145.3,286.0,244,465,07:45
196.0,148.0,277.80000000000007,258,470,07:50
191.0,147.0,272.0,261,475,07:55
197.0,153.70000000000002,270.0,270,480,08:00
197.0,155.2,269.0,283,485,08:05
201.0,156.0,270.0,291,490,08:10
200.0,158.3,266.7,294,495,08:15
200.0,159.4,264.6,295,500,08:20
202.0,159.10000000000002,265.3,298,505,08:25
201.0,157.6,267.0,307,510,08:30
203.0,154.0,266.0,316,515,08:35
206.0,153.0,262.5,326,520,08:40
205.0,154.5,261.0,336,525,08:45
200.0,153.4,256.0,355,530,08:50
200.5,151.0,256.80000000000007,372,535,08:55
200.0,147.0,254.5,376,540,09:00
197.5,149.0,258.0,380,545,09:05
197.0,149.0,260.0,393,550,09:10
201.0,146.4,256.50000000000006,398,555,09:15
199.0,145.9,256.1,410,560,09:20
198.5,143.3,258.7,414,565,09:25
197.0,142.0,259.0,421,570,09:30
196.0,144.0,259.40000000000003,437,575,09:35
192.0,142.2,258.0,453,580,09:40
192.0,134.0,254.40000000000003,457,585,09:45
192.0,135.0,251.8,463,590,09:50
192.0,136.0,250.39999999999998,469,595,09:55
190.0,137.8,250.0,479,600,10:00
191.0,137.0,248.10000000000002,490,605,10:05
192.0,137.0,252.0,491,610,10:10
193.0,139.9,249.0,490,615,10:15
192.0,140.0,248.8,503,620,10:20
194.0,139.0,247.8,513,625,10:25
192.0,137.3,250.7,524,630,10:30
193.0,138.0,253.0,541,635,10:35
195.0,137.0,253.0,551,640,10:40
194.0,139.0,256.0,563,645,10:45
195.0,141.8,259.2,569,650,10:50
193.0,142.6,258.4,577,655,10:55
194.0,142.0,254.0,581,660,11:00
195.0,142.0,255.4000000000001,585,665,11:05
195.0,143.0,257.6,585,670,11:10
195.0,141.0,256.0,596,675,11:15
195.0,141.0,257.69999999999993,602,680,11:20
195.0,140.0,258.0,603,685,11:25
192.0,137.9,261.0,610,690,11:30
192.0,136.0,259.0,622,695,11:35
194.0,136.0,258.0,628,700,11:40
193.5,137.0,256.0,622,705,11:45
193.0,135.0,255.39999999999998,627,710,11:50
193.0,134.0,255.0,621,715,11:55
194.0,131.0,252.0,634,720,12:00
195.0,130.0,251.0,634,725,12:05
192.0,129.2,252.0,643,730,12:10
191.0,129.6,252.39999999999998,637,735,12:15
190.0,130.0,253.0,635,740,12:20
191.0,130.10000000000002,252.89999999999998,642,745,12:25
192.0,130.5,257.5,636,750,12:30
193.0,133.6,258.0,637,755,12:35
193.0,134.0,260.0,633,760,12:40
193.5,133.0,258.0,636,765,12:45
194.0,133.0,257.0,631,770,12:50
192.0,132.0,257.0,638,775,12:55
190.0,135.0,258.80000000000007,633,780,13:00
190.0,135.0,256.6,635,785,13:05
