median,p10,p90,count,time_minutes,time_label
118.0,89.0,186.0,240,0,00:00
118.0,86.0,180.0,227,5,00:05
114.0,85.0,177.0,230,10,00:10
116.0,84.0,179.0,240,15,00:15
111.0,88.0,175.0,227,20,00:20
110.0,87.0,167.0,230,25,00:25
108.5,86.0,176.0,240,30,00:30
109.0,88.0,166.0,227,35,00:35
113.0,87.0,170.0,230,40,00:40
111.0,84.0,171.0,234,45,00:45
103.0,84.0,170.0,227,50,00:50
102.0,87.0,165.0,236,55,00:55
102.0,87.0,172.0,234,60,01:00
103.0,83.0,159.0,233,65,01:05
106.0,83.0,155.49999999999997,230,70,01:10
107.0,85.0,167.0,234,75,01:15
102.0,81.0,148.0,233,80,01:20
108.0,82.0,145.89999999999995,230,85,01:25
108.0,85.0,145.0,227,90,01:30
105.0,83.0,146.0,233,95,01:35
111.0,87.0,147.0,237,100,01:40
111.0,87.0,145.0,226,105,01:45
109.0,84.0,144.0,225,110,01:50
110.0,84.0,144.0,230,115,01:55
107.0,86.0,151.0,240,120,02:00
106.0,84.0,138.0,247,125,02:05
106.0,81.0,144.0,244,130,02:10
104.0,82.0,146.0,248,135,02:15
102.0,85.0,139.0,247,140,02:20
104.0,82.0,141.0,244,145,02:25
96.0,83.0,141.0,241,150,02:30
99.0,82.0,140.0,240,155,02:35
98.0,86.0,139.0,237,160,02:40
100.0,82.0,140.0,248,165,02:45
103.0,88.0,130.0,247,170,02:50
102.0,85.0,128.0,244,175,02:55
104.0,82.0,133.0,241,180,03:00
99.0,73.0,134.0,247,185,03:05
103.0,85.0,134.0,244,190,03:10
103.0,86.0,136.0,248,195,03:15
102.0,84.0,130.0,237,200,03:20
106.0,85.0,126.0,244,205,03:25
102.0,85.0,137.0,248,210,03:30
102.0,92.0,142.0,247,215,03:35
103.0,88.0,140.0,244,220,03:40
103.0,90.0,139.0,248,225,03:45
103.0,87.0,141.0,247,230,03:50
106.0,86.0,143.20000000000002,237,235,03:55
104.0,85.0,143.0,241,240,04:00
102.0,85.0,146.0,247,245,04:05
102.0,84.0,145.0,251,250,04:10
106.0,83.0,145.0,248,255,04:15
106.0,85.0,153.0,247,260,04:20
105.0,86.0,147.0,244,265,04:25
107.0,86.0,144.0,248,270,04:30
104.0,82.0,143.0,247,275,04:35
104.0,80.0,141.0,244,280,04:40
102.0,78.0,143.0,248,285,04:45
102.0,80.0,143.0,247,290,04:50
105.0,84.0,145.0,244,295,04:55
105.0,83.0,144.0,248,300,05:00
105.0,87.0,144.0,247,305,05:05
108.0,82.0,149.0,244,310,05:10
