median,p10,p90,count,time_minutes,time_label
62.0,51.0,78.0,184,0,00:00
63.0,52.0,91.0,186,5,00:05
61.0,52.0,99.0,250,10,00:10
63.0,53.0,83.0,212,15,00:15
65.0,50.0,83.0,232,20,00:20
64.0,54.0,82.0,306,25,00:25
68.0,53.0,88.0,254,30,00:30
69.0,53.0,88.60000000000014,274,35,00:35
67.0,55.0,90.0,362,40,00:40
72.0,54.0,112.0,282,45,00:45
73.0,54.0,114.00000000000051,274,50,00:50
69.0,54.0,103.0,390,55,00:55
69.0,55.0,133.0,282,60,01:00
69.0,53.0,103.0,326,65,01:05
73.0,54.0,131.0,456,70,01:10
72.0,54.0,133.0,328,75,01:15
79.0,54.0,131.0,378,80,01:20
74.0,53.0,114.0,520,85,01:25
78.0,57.0,114.0,370,90,01:30
78.0,57.0,124.10000000000048,420,95,01:35
73.0,53.0,129.0,534,100,01:40
78.0,60.0,128.0,438,105,01:45
78.0,55.0,139.0,510,110,01:50
74.0,54.0,147.0,590,115,01:55
75.0,55.0,153.0,534,120,02:00
73.0,54.0,149.0,562,125,02:05
72.0,54.0,155.0,632,130,02:10
75.5,55.0,155.0,548,135,02:15
74.0,54.0,153.0,576,140,02:20
78.0,55.0,164.0,632,145,02:25
75.0,57.0,163.90000000000003,538,150,02:30
73.0,54.0,163.0,576,155,02:35
83.0,55.0,187.0,632,160,02:40
84.5,57.0,173.0,548,165,02:45
90.5,55.5,171.0,576,170,02:50
99.0,59.0,200.0,632,175,02:55
102.0,58.0,167.0,548,180,03:00
105.0,54.0,168.0,576,185,03:05
108.0,55.0,198.0,622,190,03:10
113.0,55.0,182.0,548,195,03:15
116.0,57.0,190.60000000000014,552,200,03:20
109.0,64.0,195.0,636,205,03:25
125.0,67.0,185.30000000000013,538,210,03:30
111.0,60.0,195.0,566,215,03:35
116.0,65.0,204.0,622,220,03:40
125.5,69.0,199.0,548,225,03:45
123.5,64.0,201.0,576,230,03:50
123.0,66.0,203.0,632,235,03:55
123.0,70.0,201.0,548,240,04:00
121.0,61.0,207.0,576,245,04:05
128.0,70.30000000000001,210.0,632,250,04:10
122.0,74.0,210.0,548,255,04:15
132.0,69.0,218.0,576,260,04:20
137.0,64.0,227.0,632,265,04:25
124.0,78.0,212.0,548,270,04:30
155.0,72.0,229.0,562,275,04:35
153.0,72.0,226.0,646,280,04:40
152.0,80.0,210.49999999999994,534,285,04:45
157.0,76.0,238.0,590,290,04:50
158.0,82.2,253.0,632,295,04:55
147.0,86.0,249.0,548,300,05:00
161.0,86.0,263.0,554,305,05:05
163.0,77.0,268.0,654,310,05:10
148.0,81.0,260.0,548,315,05:15
164.0,86.0,258.0,568,320,05:20
168.0,83.0,273.0,640,325,05:25
147.0,87.0,263.0,548,330,05:30
170.0,85.0,262.0,564,335,05:35
168.0,80.0,282.0,644,340,05:40
161.0,88.0,260.0,534,345,05:45
